Proposal code,Origin period season sequence,Period,Rabobank Region,Crop,Crop Naics code,Crop naics descripion,Area,Noise1,Noise2,Noise3,Yield,Cost,Price,Financial information sequence,Last update,Esport date and time
525,0,9/1/2020,Barreiras,Melancia irrigada,28,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,8139,0.11,-0.63,2.62,412450.0,68790.0,1391.0,11/1/2020,12/23/2020,7/7/2021
526,0,9/14/2021,Barreiras,Cebola Sequeiro,21,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,6963,0.93,-0.8,0.18,394650.0,53630.0,159.0,2/8/2021,2/16/2021,12/4/2020
527,3,12/15/2020,Barreiras,Melancia irrigada,30,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,4532,1.32,0.01,-0.12,292600.0,45520.0,-15.0,2/18/2021,5/22/2021,3/3/2021
528,3,9/2/2021,Barreiras,Cebola Sequeiro,91,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,7576,0.87,0.19,3.63,422300.0,79560.0,1890.0,4/19/2021,8/3/2021,8/8/2021
529,0,6/21/2021,Barreiras,Melancia irrigada,134,amet turpis elementum ligula vehicula consequat morbi a ipsum integer,4811,0.22,0.82,1.02,251550.0,64510.0,558.0,1/20/2021,2/26/2021,7/30/2021
530,2,10/1/2020,Barreiras,Melancia irrigada,21,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,363,0.56,-1.74,0.08,46150.0,-31170.0,43.0,2/4/2021,3/11/2021,4/22/2021
531,4,8/25/2021,Barreiras,Melancia irrigada,123,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,5993,0.26,-0.67,0.56,312650.0,46530.0,339.0,4/15/2021,12/28/2020,1/14/2021
532,2,3/14/2021,Barreiras,Melancia irrigada,113,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,4697,0.51,0.74,0.53,260350.0,61770.0,311.0,6/20/2021,1/25/2021,1/31/2021
533,4,4/10/2021,Barreiras,Cebola Sequeiro,3,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,4036,-1.38,1.13,-0.66,132800.0,62960.0,-290.0,2/22/2021,1/6/2021,11/19/2020
534,0,9/2/2021,Barreiras,Cebola Sequeiro,99,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,3929,0.58,-2.11,-1.13,225450.0,-2910.0,-526.0,11/22/2020,10/15/2020,2/18/2021
535,2,4/25/2021,Barreiras,Cebola Sequeiro,81,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,3664,-0.23,-1.67,2.17,171700.0,3240.0,1121.0,3/26/2021,11/12/2020,5/23/2021
536,0,2/19/2021,Barreiras,Cebola Sequeiro,135,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,9136,0.55,-0.88,0.35,484300.0,73760.0,266.0,12/13/2020,1/2/2021,5/3/2021
537,3,6/28/2021,Barreiras,Abobora Irrigada,126,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,1664,0.18,0.36,0.76,92200.0,23840.0,396.0,8/7/2021,12/25/2020,12/3/2020
538,1,12/21/2020,Barreiras,Cebola Sequeiro,140,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,4246,1.85,-0.03,-0.93,304800.0,41860.0,-423.0,8/22/2021,7/3/2021,3/17/2021
539,3,6/29/2021,Barreiras,Melancia irrigada,132,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,8424,-0.45,-0.85,0.41,398700.0,67240.0,289.0,6/4/2021,7/19/2021,10/30/2020
540,4,7/17/2021,Barreiras,Melancia irrigada,102,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,9476,-0.71,-0.7,1.13,438300.0,80760.0,659.0,8/15/2021,11/15/2020,7/8/2021
541,1,9/12/2020,Barreiras,Melancia irrigada,142,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,3719,0.32,-0.49,1.82,201950.0,27390.0,947.0,2/15/2021,1/21/2021,12/8/2020
542,2,11/15/2020,Barreiras,Melancia irrigada,146,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,6907,1.13,-1.35,0.53,401850.0,42070.0,334.0,7/9/2021,10/27/2020,11/18/2020
543,3,10/9/2020,Barreiras,Cebola Sequeiro,47,urna pretium nisl ut volutpat sapien arcu sed augue aliquam,4021,0.4,0.05,1.1,221050.0,41210.0,590.0,7/7/2021,4/16/2021,1/3/2021
544,2,4/13/2021,Barreiras,Melancia irrigada,110,lobortis est phasellus sit amet erat nulla tempus vivamus in,2880,0.94,-0.64,1.24,191000.0,16000.0,648.0,10/12/2020,1/8/2021,1/14/2021
545,4,4/9/2021,Barreiras,Abobora Irrigada,120,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,821,-0.25,-0.78,-0.82,28550.0,-7390.0,-402.0,2/20/2021,10/31/2020,11/26/2020
546,3,2/22/2021,Barreiras,Melancia irrigada,146,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,6243,-0.52,-1.19,-0.29,286150.0,38630.0,-83.0,7/2/2021,1/30/2021,2/9/2021
547,3,9/2/2021,Barreiras,Abobora Irrigada,76,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,9391,-1.35,0.19,-0.53,402050.0,97710.0,-172.0,3/17/2021,6/7/2021,8/10/2021
548,3,4/4/2021,Barreiras,Melancia irrigada,91,eu magna vulputate luctus cum sociis natoque penatibus et magnis,563,-0.51,1.09,0.05,2650.0,27430.0,30.0,3/15/2021,8/16/2021,7/8/2021
549,4,3/10/2021,Barreiras,Melancia irrigada,119,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,3808,0.67,0.01,0.24,223900.0,38280.0,158.0,7/23/2021,9/11/2021,8/8/2021
550,2,7/3/2021,Barreiras,Melancia irrigada,72,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,6513,0.84,-0.34,-0.64,367650.0,58330.0,-255.0,10/18/2020,8/11/2021,9/4/2021
551,0,8/15/2021,Barreiras,Melancia irrigada,42,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,4774,0.69,0.23,-2.03,273200.0,52340.0,-968.0,9/22/2020,6/7/2021,11/10/2020
552,0,7/22/2021,Barreiras,Abobora Irrigada,47,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,7957,0.77,1.2,-0.19,436350.0,103570.0,-16.0,10/2/2020,8/3/2021,9/13/2021
553,3,6/22/2021,Barreiras,Melancia irrigada,124,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,1529,1.29,0.68,-0.39,140950.0,28890.0,-180.0,8/8/2021,12/17/2020,7/6/2021
554,1,3/13/2021,Barreiras,Cebola Sequeiro,3,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,9089,0.29,-1.72,-0.03,468950.0,56490.0,75.0,1/17/2021,8/25/2021,12/1/2020
555,0,12/9/2020,Barreiras,Abobora Irrigada,32,consequat nulla nisl nunc nisl duis bibendum felis sed interdum,2466,0.57,-0.06,-2.01,151800.0,23460.0,-981.0,7/21/2021,4/18/2021,8/10/2021
556,1,11/18/2020,Barreiras,Abobora Irrigada,116,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,6707,1.24,-0.34,-0.75,397350.0,60270.0,-308.0,12/25/2020,5/11/2021,6/3/2021
557,3,12/13/2020,Barreiras,Cebola Sequeiro,63,non sodales sed tincidunt eu felis fusce posuere felis sed lacus,6629,1.03,1.56,0.13,382950.0,97490.0,131.0,6/18/2021,10/14/2020,4/22/2021
558,0,6/5/2021,Barreiras,Melancia irrigada,148,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,6963,-0.97,-0.98,0.64,299650.0,50030.0,389.0,12/15/2020,3/14/2021,3/14/2021
559,0,4/18/2021,Barreiras,Melancia irrigada,1,turpis a pede posuere nonummy integer non velit donec diam neque,2319,-0.6,-0.5,0.66,85950.0,13190.0,353.0,3/29/2021,9/17/2020,7/5/2021
560,0,4/21/2021,Barreiras,Cebola Sequeiro,72,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,6852,0.33,0.08,0.74,359100.0,70120.0,438.0,4/25/2021,11/23/2020,4/12/2021
561,0,6/11/2021,Barreiras,Cebola Sequeiro,47,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,8509,0.2,0.46,-0.69,435450.0,94290.0,-260.0,10/9/2020,7/14/2021,3/29/2021
562,2,3/11/2021,Barreiras,Melancia irrigada,21,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,2046,-1.16,0.86,0.05,44300.0,37660.0,45.0,11/18/2020,8/10/2021,7/22/2021
563,2,10/16/2020,Barreiras,Abobora Irrigada,65,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,9733,-0.48,-0.38,-0.13,462650.0,89730.0,32.0,2/19/2021,9/30/2020,10/6/2020
564,2,10/18/2020,Barreiras,Melancia irrigada,130,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,435,-0.32,0.69,-0.41,5750.0,18150.0,-201.0,12/12/2020,5/24/2021,1/1/2021
565,3,7/22/2021,Barreiras,Melancia irrigada,102,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,2997,0.18,-0.68,-0.7,158850.0,16370.0,-321.0,12/12/2020,6/7/2021,1/16/2021
566,1,7/15/2021,Barreiras,Cebola Sequeiro,66,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,9416,-0.94,-0.76,-0.54,423800.0,78960.0,-176.0,9/24/2020,5/9/2021,3/24/2021
567,0,10/25/2020,Barreiras,Abobora Irrigada,107,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,1795,0.58,0.81,-0.07,118750.0,34150.0,-18.0,2/26/2021,5/3/2021,2/10/2021
568,3,8/15/2021,Barreiras,Cebola Sequeiro,106,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,8199,-1.46,-0.65,0.12,336950.0,68990.0,141.0,10/26/2020,10/12/2020,6/13/2021
569,2,1/25/2021,Barreiras,Melancia irrigada,100,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,2204,-1.06,-0.05,-0.99,57200.0,21040.0,-473.0,3/30/2021,3/2/2021,2/11/2021
570,1,3/16/2021,Barreiras,Abobora Irrigada,7,mi pede malesuada in imperdiet et commodo vulputate justo in blandit,2730,-1.39,0.52,-1.76,67000.0,37700.0,-853.0,3/9/2021,5/26/2021,12/28/2020
571,2,5/16/2021,Barreiras,Cebola Sequeiro,114,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,577,-1.97,-1.56,-0.25,-69650.0,-25430.0,-120.0,11/5/2020,8/2/2021,8/12/2021
572,1,10/3/2020,Barreiras,Abobora Irrigada,64,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,2613,0.15,-1.98,-0.15,138150.0,-13470.0,-49.0,5/5/2021,5/21/2021,4/22/2021
573,2,11/28/2020,Barreiras,Cebola Sequeiro,0,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,7771,0.26,0.29,0.4,401550.0,83510.0,277.0,5/1/2021,10/31/2020,7/30/2021
574,4,3/17/2021,Barreiras,Abobora Irrigada,33,porttitor pede justo eu massa donec dapibus duis at velit,3156,0.76,1.09,1.97,195800.0,53360.0,1016.0,5/24/2021,9/8/2021,11/13/2020
575,2,9/9/2020,Barreiras,Cebola Sequeiro,114,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,3589,0.75,-0.28,-0.09,216950.0,30290.0,-10.0,2/10/2021,5/14/2021,1/21/2021
576,3,7/13/2021,Barreiras,Cebola Sequeiro,25,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,6915,-0.57,0.86,-0.49,317250.0,86350.0,-176.0,12/31/2020,1/29/2021,2/8/2021
577,3,12/25/2020,Barreiras,Melancia irrigada,129,vehicula consequat morbi a ipsum integer a nibh in quis,808,1.0,-0.32,-0.3,90400.0,1680.0,-142.0,6/23/2021,1/2/2021,12/13/2020
578,3,8/20/2021,Barreiras,Melancia irrigada,141,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,4905,-0.07,-1.2,1.04,241750.0,25050.0,569.0,12/4/2020,7/26/2021,12/1/2020
579,4,9/5/2021,Barreiras,Melancia irrigada,51,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,3578,0.07,-0.14,-1.46,182400.0,32980.0,-695.0,11/17/2020,5/6/2021,10/23/2020
580,2,2/23/2021,Barreiras,Abobora Irrigada,58,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,2265,1.07,-1.95,-0.89,166750.0,-16350.0,-423.0,8/27/2021,4/3/2021,7/21/2021
581,2,3/17/2021,Barreiras,Melancia irrigada,46,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,1503,0.23,0.13,-0.42,86650.0,17630.0,-195.0,2/17/2021,8/27/2021,10/5/2020
582,2,3/19/2021,Barreiras,Melancia irrigada,0,velit id pretium iaculis diam erat fermentum justo nec condimentum neque,9675,-0.64,-0.07,-1.11,451750.0,95350.0,-459.0,5/26/2021,9/22/2020,6/2/2021
583,1,9/4/2020,Barreiras,Melancia irrigada,34,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,2137,1.49,-0.1,-0.92,181350.0,19370.0,-439.0,9/10/2021,10/14/2020,4/24/2021
584,3,11/24/2020,Barreiras,Cebola Sequeiro,5,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,4915,-0.7,-0.29,1.06,210750.0,43350.0,579.0,12/26/2020,10/10/2020,6/24/2021
585,0,9/9/2021,Barreiras,Melancia irrigada,146,semper sapien a libero nam dui proin leo odio porttitor,4364,0.73,0.21,-1.46,254700.0,47840.0,-687.0,12/17/2020,1/9/2021,7/25/2021
586,4,9/14/2021,Barreiras,Melancia irrigada,8,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,2011,-1.85,0.43,-0.51,8050.0,28710.0,-235.0,6/25/2021,12/11/2020,8/9/2021
587,4,6/22/2021,Barreiras,Melancia irrigada,65,potenti cras in purus eu magna vulputate luctus cum sociis,9476,-1.72,1.69,-0.47,387800.0,128560.0,-141.0,8/28/2021,1/17/2021,2/19/2021
588,3,8/24/2021,Barreiras,Abobora Irrigada,141,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,7278,1.01,-0.56,0.28,414400.0,61580.0,212.0,7/25/2021,8/31/2021,6/22/2021
589,1,7/23/2021,Barreiras,Abobora Irrigada,5,donec quis orci eget orci vehicula condimentum curabitur in libero,9761,-0.06,0.92,0.82,485050.0,116010.0,507.0,1/6/2021,12/15/2020,5/10/2021
590,4,3/7/2021,Barreiras,Cebola Sequeiro,33,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,6893,0.5,-0.1,-0.47,369650.0,66930.0,-167.0,9/16/2020,10/15/2020,8/17/2021
591,3,1/5/2021,Barreiras,Melancia irrigada,137,lacus at velit vivamus vel nulla eget eros elementum pellentesque,9231,-0.96,1.32,1.11,413550.0,118710.0,647.0,8/31/2021,7/17/2021,2/20/2021
592,4,10/30/2020,Barreiras,Abobora Irrigada,136,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,8588,2.46,0.26,-1.61,552400.0,91080.0,-720.0,8/15/2021,2/12/2021,2/26/2021
593,3,9/22/2020,Barreiras,Cebola Sequeiro,29,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,6741,-0.07,0.33,-0.1,333550.0,74010.0,17.0,10/7/2020,2/3/2021,10/16/2020
594,4,5/15/2021,Barreiras,Melancia irrigada,129,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,1822,0.55,-0.96,1.06,118600.0,-980.0,548.0,2/1/2021,12/5/2020,5/30/2021
595,1,8/18/2021,Barreiras,Abobora Irrigada,77,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,2549,0.95,0.33,1.12,174950.0,32090.0,585.0,10/14/2020,1/6/2021,9/11/2021
596,3,5/15/2021,Barreiras,Melancia irrigada,61,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,2664,1.92,-0.91,0.34,229200.0,8440.0,196.0,7/19/2021,12/12/2020,10/4/2020
597,4,11/15/2020,Barreiras,Abobora Irrigada,16,platea dictumst etiam faucibus cursus urna ut tellus nulla ut,1714,0.45,-1.97,-1.69,108200.0,-22260.0,-828.0,2/17/2021,12/20/2020,1/17/2021
598,2,12/29/2020,Barreiras,Melancia irrigada,29,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,4483,-0.1,1.44,0.09,219150.0,73630.0,89.0,8/10/2021,12/3/2020,5/2/2021
599,0,3/18/2021,Barreiras,Cebola Sequeiro,54,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,2977,0.5,1.53,-0.94,173850.0,60370.0,-441.0,12/11/2020,8/5/2021,2/7/2021
600,1,9/18/2020,Barreiras,Melancia irrigada,121,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,2453,0.01,-2.35,-1.36,123150.0,-22470.0,-656.0,7/12/2021,6/16/2021,12/5/2020
601,1,6/8/2021,Barreiras,Melancia irrigada,10,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,4171,-0.47,-0.36,0.19,185050.0,34510.0,136.0,10/7/2020,2/19/2021,5/2/2021
602,0,7/28/2021,Barreiras,Abobora Irrigada,36,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,9394,-0.48,-1.33,1.75,445700.0,67340.0,968.0,2/13/2021,10/11/2020,11/2/2020
603,3,2/25/2021,Barreiras,Abobora Irrigada,57,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,193,0.77,1.12,-1.46,48150.0,24330.0,-729.0,1/19/2021,4/19/2021,11/23/2020
604,4,12/11/2020,Barreiras,Melancia irrigada,143,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,5146,-2.0,-0.31,-2.22,157300.0,45260.0,-1059.0,7/26/2021,2/11/2021,4/23/2021
605,4,11/28/2020,Barreiras,Melancia irrigada,141,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,524,-3.48,1.15,-1.95,-147800.0,28240.0,-970.0,6/3/2021,11/1/2020,11/10/2020
606,3,11/29/2020,Barreiras,Melancia irrigada,44,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,2461,0.79,-0.57,0.91,162550.0,13210.0,479.0,2/5/2021,12/6/2020,9/18/2020
607,2,3/27/2021,Barreiras,Cebola Sequeiro,30,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,2688,-0.55,0.23,-0.08,106900.0,31480.0,-14.0,9/3/2021,7/15/2021,10/5/2020
608,2,4/10/2021,Barreiras,Cebola Sequeiro,128,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,6913,1.49,-0.44,0.65,420150.0,60330.0,394.0,10/18/2020,6/9/2021,10/20/2020
609,2,2/2/2021,Barreiras,Melancia irrigada,130,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,3419,0.14,1.64,-1.25,177950.0,66990.0,-591.0,4/13/2021,7/14/2021,5/28/2021
610,4,11/5/2020,Barreiras,Melancia irrigada,139,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,4748,0.01,1.2,0.08,237900.0,71480.0,87.0,6/30/2021,1/9/2021,3/7/2021
611,3,9/23/2020,Barreiras,Cebola Sequeiro,32,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,1822,0.55,1.03,0.72,118600.0,38820.0,378.0,10/29/2020,6/8/2021,8/18/2021
612,3,10/30/2020,Barreiras,Abobora Irrigada,109,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,5871,0.01,0.58,0.47,294050.0,70310.0,293.0,10/24/2020,4/1/2021,1/11/2021
613,3,10/31/2020,Barreiras,Abobora Irrigada,140,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,9246,-0.34,-1.19,-0.73,445300.0,68660.0,-273.0,7/25/2021,2/28/2021,10/21/2020
614,3,6/3/2021,Barreiras,Melancia irrigada,125,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,5826,0.43,1.37,1.55,312800.0,85660.0,833.0,11/25/2020,3/5/2021,1/9/2021
615,0,4/12/2021,Barreiras,Cebola Sequeiro,12,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,4603,0.53,0.14,0.5,256650.0,48830.0,296.0,8/2/2021,1/28/2021,11/26/2020
616,4,5/30/2021,Barreiras,Melancia irrigada,49,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,4354,1.15,0.01,-0.26,275200.0,43740.0,-87.0,7/30/2021,1/12/2021,11/3/2020
617,2,10/2/2020,Barreiras,Abobora Irrigada,10,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,1114,0.9,-1.34,-0.51,100700.0,-15660.0,-244.0,3/11/2021,10/29/2020,11/23/2020
618,3,9/20/2020,Barreiras,Abobora Irrigada,108,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,1096,0.41,-0.19,0.34,75300.0,7160.0,180.0,9/1/2021,8/25/2021,8/22/2021
619,2,12/19/2020,Barreiras,Melancia irrigada,61,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,5166,-2.54,0.23,-0.18,131300.0,56260.0,-39.0,5/26/2021,5/23/2021,12/27/2020
620,4,4/22/2021,Barreiras,Abobora Irrigada,114,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,4872,0.79,-0.0,1.55,283100.0,48720.0,823.0,5/7/2021,10/27/2020,2/26/2021
621,0,3/20/2021,Barreiras,Melancia irrigada,95,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,6636,-0.18,0.68,0.07,322800.0,79960.0,101.0,12/27/2020,7/30/2021,2/8/2021
622,0,6/7/2021,Barreiras,Melancia irrigada,28,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,4965,1.87,-0.55,0.16,341750.0,38650.0,129.0,6/16/2021,11/2/2020,5/25/2021
623,0,2/21/2021,Barreiras,Cebola Sequeiro,120,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,8891,0.47,0.3,-0.04,468050.0,94910.0,68.0,6/27/2021,3/28/2021,4/24/2021
624,3,12/29/2020,Barreiras,Cebola Sequeiro,139,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,9912,-1.29,-1.41,-1.05,431100.0,70920.0,-426.0,3/21/2021,5/7/2021,6/15/2021
625,1,8/10/2021,Barreiras,Melancia irrigada,70,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,2379,-0.37,-0.1,0.79,100450.0,21790.0,418.0,12/27/2020,2/25/2021,9/18/2020
626,2,1/17/2021,Barreiras,Melancia irrigada,113,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,3500,-1.36,-0.83,-0.64,107000.0,18400.0,-285.0,4/25/2021,12/18/2020,2/20/2021
627,2,10/18/2020,Barreiras,Cebola Sequeiro,81,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,1314,0.2,0.82,-0.68,75700.0,29540.0,-327.0,1/12/2021,1/21/2021,8/23/2021
628,4,5/14/2021,Barreiras,Abobora Irrigada,119,at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,9578,-0.34,1.82,0.74,461900.0,132180.0,465.0,5/26/2021,11/20/2020,8/10/2021
629,3,8/23/2021,Barreiras,Melancia irrigada,145,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,2024,-0.34,-0.32,0.81,84200.0,13840.0,425.0,2/15/2021,9/1/2021,2/19/2021
630,4,9/9/2020,Barreiras,Abobora Irrigada,149,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,3380,0.33,1.22,-1.25,185500.0,58200.0,-592.0,3/30/2021,7/19/2021,8/9/2021
631,0,5/27/2021,Barreiras,Melancia irrigada,120,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,6176,-0.5,0.19,0.03,283800.0,65560.0,76.0,4/7/2021,4/2/2021,7/21/2021
632,1,12/13/2020,Barreiras,Abobora Irrigada,45,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,1867,-0.29,-0.38,-0.4,78850.0,11070.0,-182.0,12/22/2020,4/23/2021,10/12/2020
633,2,7/10/2021,Barreiras,Cebola Sequeiro,132,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,2655,1.06,-0.63,-0.98,185750.0,13950.0,-464.0,7/29/2021,11/30/2020,9/7/2021
634,2,8/20/2021,Barreiras,Cebola Sequeiro,34,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,8222,2.03,-2.16,0.27,512600.0,39020.0,217.0,8/15/2021,12/27/2020,1/7/2021
635,1,2/13/2021,Barreiras,Melancia irrigada,127,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,4346,-0.49,-0.16,-1.62,192800.0,40260.0,-767.0,10/7/2020,7/2/2021,10/24/2020
636,3,8/11/2021,Barreiras,Melancia irrigada,114,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,3033,-0.7,0.86,-0.24,116650.0,47530.0,-90.0,2/3/2021,8/31/2021,10/9/2020
637,0,7/5/2021,Barreiras,Melancia irrigada,55,nec condimentum neque sapien placerat ante nulla justo aliquam quis,3272,0.48,-0.85,-0.45,187600.0,15720.0,-193.0,7/19/2021,12/30/2020,10/21/2020
